"","Harare","Huye","Iringa","Johanesburg","Jos","Kamembe","Kayonza","Kigali","Koulikoro","Lagos"
"16-JAN-1960",77.4,128.8,208.2,83,0,46.6,41.3,103,0,21.5
"15-FEB-1960",176.3,141.3,113.7,70.7,0,120.3,77.2,91.6,0.7,54.9
"16-MAR-1960",32.1,163.7,171.9,75.6,4.8,118.4,82.5,91.5,21.7,56.7
"16-APR-1960",81.5,201.6,76.6,78.7,169.8,164.6,139.6,146.1,149.9,234.8
"16-MAY-1960",35.5,31.1,3.5,5.7,100.2,145.3,110.8,39.6,176.9,197
"16-JUN-1960",6.9,3,0.7,2.3,193.1,128,64.2,4.7,191.8,287.4
"16-JUL-1960",0,0.6,0.4,1.2,262.8,118.5,60,2,293.7,56.3
"16-AUG-1960",0,9.9,0,9.4,251.8,203.3,201,29.2,252.4,78.1
"16-SEP-1960",1.7,74.8,8.7,2.2,247.5,113.1,127.5,67.3,325.3,165.8
"16-OCT-1960",26.8,113,3.5,60.9,31.2,222.1,167.8,99.1,201.6,211.7
"16-NOV-1960",77.8,142.2,5.6,145.1,0,105.3,104.9,92.2,28.4,52
"16-DEC-1960",216.1,95.5,34.1,135.1,0,68.9,40.1,79.5,0,39.3
"16-JAN-1961",147.3,81.6,71.7,94.8,0,53.7,12.4,59.3,0,17.8
"15-FEB-1961",150.3,140.9,156.3,75.1,0,60.6,44.6,84,0.7,2.2
"16-MAR-1961",103.1,152.5,88.1,75.6,0,106.5,89.3,112.5,3,123
"16-APR-1961",84.2,141.6,80.6,115,46.5,183.2,130.3,131.2,98.2,189.5
"16-MAY-1961",8.9,81.5,14.5,45.1,69,160.1,106.3,81.6,113.6,146.2
"16-JUN-1961",8.1,5.1,0.7,9.6,176.2,189.7,134.6,7.1,208.4,393.4
"16-JUL-1961",1.8,3.4,3.5,0.6,258.6,201.4,129.6,6.7,290.1,157.5
"16-AUG-1961",1.7,6.4,0.8,0.1,159.5,223.3,173.6,21.7,212.3,2.7
"16-SEP-1961",7.9,68.7,2.9,18.4,218.7,201,202.5,102,312.8,91.3
"16-OCT-1961",30.8,180.6,36.2,54.5,28.3,253.9,230.9,150.2,117.1,197.5
